"Comment","Designator","Footprint","LCSC Part #"
"0.1uF","C4,C2,C1,C3,C12","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49678"
"10uF","C5,C6,C7","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C13585"
"20pF","C10,C11","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1798"
"Red","D1","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C84256"
"Green","D2","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2297"
"Yellow","D3","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C2296"
"D","D4,D5,D6","D_SOD-123","C8598"
"MC-107DM","J2","USB_C_Receptacle_XKB_U262-16XN-4BVC11","C2874569"
"Conn_01x04_Male","J4","BERG_4PIN","C210162"
"Jumper","J9,J6","PinHeader_1x02_P2.54mm_Vertical","C2894925"
"DB25_Male_MountingHoles","J11","DSUB-25_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","C190082"
"Conn_02x25_Odd_Even","J12","PinHeader_2x25_P2.54mm_Vertical_Shrouded","C601945"
"TF115","J13","TF-015_MEM2075_HYBRID","C266620"
"1.5K","R2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C4310"
"22","R3,R4","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17561"
"5.1K","R5,R86,R87","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C27834"
"2.7K","R6,R8,R9,R7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17530"
"220","R18,R17,R16,R15,R14,R13,R12,R11,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17557"
"100","R37,R36,R35,R34,R33,R32,R31,R30,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R75,R74,R73,R72,R71,R70,R69,R68,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17408"
"10K","R49,R48","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
"120","R57,R56,R55,R54,R53,R52,R51,R50,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17437"
"LM1117-3.3","U1","SOT-223-3_TabPin2","C6186"
"GD32F103CBT6","U2","LQFP-48_7x7mm_P0.5mm","C77979"
"8MHz","X1","Crystal_SMD_5032-2Pin_5.0x3.2mm","C115962"
