Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.366000,-58.610500,45.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.210800,-67.856100,135.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",147.764500,-63.944500,225.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.712877,-54.257377,315.000000,top
"C5","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",128.397000,-60.325000,0.000000,top
"C6","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",120.777000,-57.086500,270.000000,top
"C7","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",124.587000,-50.419000,180.000000,top
"C10","20pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.508500,-70.993000,135.000000,top
"C11","20pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",128.714500,-68.199000,315.000000,top
"C12","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",130.937000,-78.232000,90.000000,top
"D1","Red","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",162.687000,-73.905000,270.000000,top
"D2","Green","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",162.687000,-79.375000,270.000000,top
"D3","Yellow","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",162.687000,-84.709000,270.000000,top
"D4","D","D_SOD-123",120.650000,-60.833000,180.000000,top
"D5","D","D_SOD-123",124.714000,-61.976000,270.000000,top
"D6","D","D_SOD-123",142.875000,-36.576000,90.000000,top
"H1","FIDUCIAL","Fiducial_1.5mm_Mask3mm",102.500000,-25.000000,0.000000,top
"H2","FIDUCIAL","Fiducial_1.5mm_Mask3mm",172.500000,-24.955500,0.000000,top
"H3","FIDUCIAL","Fiducial_1.5mm_Mask3mm",161.000000,-97.500000,0.000000,top
"H4","FIDUCIAL","Fiducial_1.5mm_Mask3mm",114.000000,-97.500000,0.000000,top
"J2","MC-107DM","USB_C_Receptacle_XKB_U262-16XN-4BVC11",113.538000,-66.802000,276.000000,top
"J4","Conn_01x04_Male","BERG_4PIN",111.760000,-59.436000,194.000000,top
"J6","Jumper","PinHeader_1x02_P2.54mm_Vertical",138.770000,-44.323000,270.000000,top
"J9","Jumper","PinHeader_1x02_P2.54mm_Vertical",138.770000,-48.006000,270.000000,top
"J11","DB25_Male_MountingHoles","DSUB-25_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm",120.880000,-91.500000,0.000000,top
"J12","Conn_02x25_Odd_Even","PinHeader_2x25_P2.54mm_Vertical_Shrouded",137.500000,-26.606500,0.000000,top
"J13","TF115","TF-015_MEM2075_HYBRID",120.142000,-80.264000,270.000000,top
"R1","0-DNP","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.463500,-77.660500,90.000000,top
"R2","1.5K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",124.206000,-68.326000,90.000000,top
"R3","22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",121.158000,-67.310000,180.000000,top
"R4","22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",121.158000,-65.278000,180.000000,top
"R5","5.1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.020000,-79.375000,270.000000,top
"R6","2.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.020000,-84.709000,270.000000,top
"R7","2.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.400000,-84.090000,270.000000,top
"R8","2.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.020000,-73.930000,270.000000,top
"R9","2.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.400000,-73.660000,90.000000,top
"R10","0-DNP","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",137.500000,-41.529000,0.000000,top
"R11","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",167.970200,-38.709600,90.000000,top
"R12","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.430200,-38.709600,90.000000,top
"R13","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",162.890200,-38.709600,90.000000,top
"R14","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.350200,-38.709600,90.000000,top
"R15","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.810200,-38.709600,90.000000,top
"R16","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.270200,-38.709600,90.000000,top
"R17","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.730200,-38.709600,90.000000,top
"R18","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",150.190200,-38.709600,90.000000,top
"R19","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.650200,-38.709600,90.000000,top
"R20","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.870200,-38.709600,90.000000,top
"R21","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",124.790200,-38.709600,90.000000,top
"R22","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.250200,-38.709600,90.000000,top
"R23","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.710200,-38.709600,90.000000,top
